Player,Team,Position,Games,W,L,WinRate,Lvl,K,D,A,Gold,LH,Denies,GPM,XPM,KDA,KDAAvg,KDADiff,HeroDamage,TowerDamage,Healing,GoldSpent,LevelsPM,KillsPM,DeathsPM,AssistsPM,LHPM,DeniesPM,DmgPM,TowerDmgPM,HealingPM,TotalDamage
Loda,Alliance,Carry,7,1,6,0.143,16.9,3.3,5.9,6.7,1568,223.3,14.7,400,411,1.7,2.3,-2.6,10130,1005,0,13689,0.43,0.08,0.17,0.16,5.4,0.37,255,21.3,0,11135
s4,Alliance,Midlane,7,1,6,0.143,17,4.1,5.4,5.7,951,181.1,12.3,382,417,1.8,2.5,-1.3,11280,1572,197,13679,0.44,0.1,0.16,0.14,4.7,0.36,309,33.3,5.1,12852
AdmiralBulldog,Alliance,Offlane,7,1,6,0.143,15.9,3,4.6,6.7,1608,178,6.6,367,374,2.1,4,-1.6,7874,264,446,12702,0.41,0.08,0.13,0.16,4.3,0.19,204,7.7,8.3,8138
Mynuts,Alliance,Support,7,1,6,0.143,13.7,2.7,6.4,6.7,952,78.4,2,261,284,1.5,1.6,-3.7,6401,168,1078,8811,0.35,0.07,0.18,0.16,1.9,0.05,169,3.7,35.8,6569
Akke,Alliance,Support,7,1,6,0.143,11.6,1.9,5.9,5.3,552,28.3,3.1,195,204,1.2,1.3,-4,3533,102,1627,6745,0.3,0.05,0.17,0.14,0.7,0.1,100,2.7,40.3,3635
Ritsu,C9,Carry,9,3,6,0.333,21.1,5.8,3.2,3.8,1877,376.6,9.1,578,577,3,2.7,2.6,11629,2109,0,22348,0.5,0.14,0.07,0.09,8.8,0.22,271,53.9,0,13738
Brax,C9,Midlane,9,3,6,0.333,18.7,4.3,4.3,6.1,1564,243.4,14.9,422,460,2.4,4.6,0,9129,1449,36,15869,0.44,0.1,0.11,0.15,5.6,0.34,218,35.3,0.9,10578
MSS,C9,Offlane,9,3,6,0.333,14.3,1.9,5.4,6.9,1651,111.6,4.9,301,289,1.6,3.9,-3.6,6339,685,299,10018,0.35,0.05,0.12,0.16,2.8,0.12,149,17.5,8.7,7024
SVG,C9,Support,9,3,6,0.333,13.4,2.1,5.6,6.1,1398,59.6,2.6,245,249,1.5,2.3,-3.4,5492,227,80,8358,0.32,0.05,0.13,0.15,1.4,0.06,132,6.1,2.1,5719
1437,C9,Support,9,3,6,0.333,13.8,0.9,4.2,5.1,1157,59.2,2.3,231,257,1.4,2.1,-3.3,2303,103,1885,8287,0.33,0.02,0.1,0.12,1.3,0.05,54,2.7,47.1,2406
